Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Australia	8.582936643	8.641569017	8.835688047	9.226439909	9.759073431	10.62232139	10.32809244	10.9556248	11.21016771	11.60055435	11.80289054	11.80911757	11.95163155	12.77968685	12.55966873	12.65989981	12.41679178	13.23189614	14.06985862	14.12909198	15.02491601	15.43250084	15.42493181	14.64008413	15.2209753	15.3084102	14.98057315	15.7469578	15.79616778	16.51986292	15.46126211	15.13390673	15.32258937	15.70601817	15.58130994	15.60098285	16.5060059	16.51664962	16.94000743	17.19223523	17.20252441	16.73506748	17.3723178	16.90619817	17.03034133	17.17438627	17.29387382	17.46700225	17.70407968	17.63183305	16.71090435	16.51920992
Austria	4.373318828	4.496361641	4.755361673	5.155193747	5.391003988	5.252196533	5.361724683	5.417736727	5.711110104	6.006325178	6.788807307	6.953651912	7.448516814	7.930866985	7.562697278	7.176844855	7.721250012	7.428063284	7.601371804	8.158846402	6.928479	7.416160614	7.112124941	6.874373273	7.214278667	7.230766353	7.144304852	7.623419815	7.032030698	7.102448997	7.518022233	7.94835195	7.229977927	7.227191928	7.194347413	7.527052401	7.943997858	7.869650771	7.987899893	7.747095213	7.762359194	8.180002892	8.287318901	8.874662113	8.844004368	9.027746201	8.733506631	8.405092793	8.262046031	7.608851293	8.127692863	7.769983423
Azerbaijan																																	7.813362639	6.586411474	5.617069764	4.356500976	4.059066212	3.803022741	4.00297561	3.579835395	3.666271029	3.547105484	3.623944346	3.718169927	3.863229639	4.091801927	4.616299863	3.5553401	4.051383481	3.565668218	3.388225879	3.647379147
Burundi			0.015202573	0.016154716	0.015827251	0.011909579	0.015115038	0.014735443	0.016581181	0.021615415	0.018032098	0.020908925	0.020674675	0.020469155	0.02529766	0.020942939	0.023502041	0.025881431	0.026207124	0.027372978	0.035545483	0.037191783	0.036172651	0.045769938	0.047575832	0.048388881	0.049027749	0.052400265	0.048577138	0.055127945	0.052263073	0.058575946	0.052251256	0.054214014	0.054400843	0.051722143	0.05037235	0.047405324	0.045049693	0.043182164	0.042809203	0.029561001	0.029705089	0.021800204	0.025845471	0.019411377	0.022756803	0.02196433	0.021615102	0.020867637	0.020542078	0.021349926
Belgium	9.941594074	10.10387199	10.64118963	11.38692874	11.05365472	11.14165555	11.04201943	11.21725675	12.32568713	12.81544961	13.01017881	12.56342518	13.47269526	14.2554864	13.83696555	12.4583039	13.24167979	12.87543872	13.80705794	14.23923382	13.72329627	12.57955507	11.92668478	10.31207942	10.69696639	10.59744025	10.43154171	10.44717278	10.13514385	10.81351494	10.63967167	11.09099988	11.14648251	10.67503455	11.1051094	11.08115205	11.62383425	11.32885202	11.60191455	11.25370748	11.20784724	11.11303943	10.36491149	11.04114741	10.64264053	10.33509584	10.12287933	9.71371759	9.699598963	9.634775755	9.989975524	8.849398302
Benin	0.066354118	0.052045781	0.054201528	0.047579654	0.055295044	0.057114908	0.042394929	0.052319596	0.055230835	0.070849897	0.097105031	0.0987099	0.127891949	0.122623449	0.127816295	0.135983014	0.077823023	0.086539722	0.103038654	0.101340082	0.139064998	0.112249052	0.127787747	0.114215524	0.123291053	0.173630822	0.15699872	0.118573004	0.119745164	0.132690892	0.142976655	0.159910854	0.168410364	0.202977024	0.218621053	0.221772443	0.204833203	0.191382863	0.185408737	0.231754927	0.230065879	0.252987807	0.280412783	0.307110875	0.316583691	0.292647893	0.458607507	0.516298739	0.500183373	0.514277812	0.541771234	0.509962226
Burkina Faso	0.009111897	0.018729909	0.01700312	0.017504214	0.021575276	0.019841275	0.019533659	0.019216847	0.018894966	0.021889876	0.025426355	0.026268923	0.027698414	0.028443195	0.033998428	0.035749173	0.033314914	0.038968347	0.053341694	0.061009863	0.063420218	0.079795475	0.080427272	0.080923788	0.061836929	0.061686779	0.060571905	0.063518694	0.06626337	0.095737151	0.066589241	0.069287377	0.067840823	0.06564342	0.065745056	0.062147146	0.068229445	0.075638155	0.07856119	0.082550446	0.089716835	0.08351019	0.081747564	0.085214387	0.084722421	0.083875351	0.098340164	0.115429246	0.115427271	0.109774087	0.1076731	0.11998056
Bangladesh													0.05192953	0.066334334	0.066736729	0.068350464	0.076376762	0.077652827	0.078202389	0.08400439	0.093878675	0.09487752	0.100143152	0.093399511	0.10074583	0.110031468	0.11996804	0.120864332	0.134411176	0.130117492	0.14656494	0.146903476	0.159912482	0.153445767	0.163650969	0.192658144	0.198614945	0.202825216	0.190602088	0.196015725	0.212287044	0.242619016	0.247430419	0.24446636	0.282229562	0.262742269	0.332345776	0.319840389	0.334439662	0.352155282	0.370359878	0.372017166
Bulgaria	2.833901121	3.269920074	3.835891818	4.259780927	5.262987916	5.645651942	5.905436715	6.638369161	7.112214403	7.869932816	7.213424372	7.532552676	7.715656701	7.983550221	8.210958036	8.377877479	8.347946173	8.628766462	9.236529547	8.968132006	8.744238667	9.03643153	10.10727531	10.10833662	9.749961471	9.992783476	10.21729994	10.214134	9.718843491	9.771261867	8.690224309	6.73939778	6.376764779	8.035332854	6.436235483	6.900326395	6.763241038	6.209849583	5.934325293	5.356718076	5.328034342	5.792010306	5.672606662	6.046861677	6.012888437	6.18991912	6.357101164	6.916687364	6.778939404	5.729715977	5.966883548	6.71438251
Bahrain	3.542864352	10.54739644	9.193608577	6.714155733	8.747480495	6.557022226	3.384358282	5.121012421	5.492662463	6.162905812	12.16585954	13.76735897	16.03597749	23.02385558	21.43721519	21.57414712	23.16397093	24.63321967	24.00754843	23.72438154	21.9162911	22.78857334	25.49180205	20.75623728	22.61128915	24.30532276	25.4033016	25.4569972	26.14472041	24.39707478	25.5388068	24.20424052	21.91439852	29.31179484	29.080863	28.4198517	26.94021781	28.96998331	29.77842227	28.11597057	27.95664425	20.04231731	21.64210708	21.6236937	21.67099428	22.15390524	20.01475859	21.44329552	21.51999548	18.13623374	18.43502476	17.94732981
